,name,address,extAddress,locality,postalCode,country,openingDays,openingHours
41,Armed Forces Museum,Oslo mil/Akershus Festning,[],Oslo,['0015'],['Norway'],"['\nMon - Fri\n', '\nSat - Sun\n']","['11:00 am - 4:00 pm', '11:00 am - 5:00 pm']"
42,The Palace Park,Slottsplassen 1,[],Oslo,['0010'],['Norway'],[],[]
43,,,[],,[],[],[],[]
44,Tjuvholmen Sculpture Park,Tjuvholmen,[],Oslo,['252'],['Norway'],['\nSun - Sat\n'],['12:00 am - 11:59 pm']
45,The Ibsen Museum,Henrik Ibsens gate 26,[],Oslo,['0255'],['Norway'],"['\nThu\n', '\nFri - Wed\n']","['11:00 am - 6:00 pm', '11:00 am - 4:00 pm']"
46,Oslo City Hall Gallery,Raadhusplassen 1,[],Oslo,['0037'],['Norway'],[],[]
47,Tiger Sculpture,Jernbanetorget 1,[],Oslo,['0154'],['Norway'],[],[]
48,National Theater (Nationaltheatret),Stortingsgt. 15,[],Oslo,[],['Norway'],[],[]
49,The Historical Museum,Frederiks gate 2,['The Museum of Cultural History'],Oslo,['0164'],['Norway'],['\nTue - Sun\n'],['11:00 am - 4:00 pm']
50,,,[],,[],[],[],[]
51,Norsk Maritimt Museum,Bygdoeynesveien 37,[],Oslo,['0286'],['Norway'],[],[]
52,,,[],,[],[],[],[]
53,Oslo's Harbour Promenade,Raadhusplassen 1,[],Oslo,['0037'],['Norway'],[],[]
54,HIMKOK Storgata Destilleri,Storgata 27,[],Oslo,['0184'],['Norway'],[],[]
55,National Museum - Museum of Decorative Arts and Design,St. Olavs gate 1,[],Oslo,['0165'],['Norway'],"['\nTue - Wed\n', '\nThu\n', '\nFri\n', '\nSat - Sun\n']","['11:00 am - 5:00 pm', '11:00 am - 7:00 pm', '11:00 am - 5:00 pm', '12:00 pm - 4:00 pm']"
56,IceBar Oslo,Kristian IV_s gate 12,[],Oslo,['0164'],['Norway'],"['\nSun - Thu\n', '\nFri - Sat\n']","['11:00 am - 11:00 pm', '11:00 am - 12:00 am']"
57,Henie-Onstad Art Center,Hovikodden,['Sonja Henies vei 31'],Oslo,['1311'],['Norway'],"['\nTue - Thu\n', '\nFri - Sun\n']","['11:00 am - 7:00 pm', '11:00 am - 5:00 pm']"
58,Emanuel Vigeland Museum,Grimelundsveien 8,[],Oslo,[],['Norway'],['\nSun\n'],['12:00 pm - 4:00 pm']
59,,,[],,[],[],[],[]
60,Damstredet & Telthusbakken,Fredensborgveien / Akersveien,[],Oslo,['0177'],['Norway'],[],[]
61,,,[],,[],[],[],[]
62,Oslo Spektrum,Sonja Henies Plass 2,[],Oslo,['0185'],['Norway'],[],[]
63,Natural History Museum,Sars Gate 1,"['Zoological, Mineral and Geological Museum']",Oslo,[],['Norway'],['\nTue - Sun\n'],['11:00 am - 4:00 pm']
64,Oslo Reptile Park,St. Olavs gate 2,[],Oslo,['165'],['Norway'],['\nSun - Sat\n'],['10:00 am - 6:00 pm']
65,22 July Centre,Akersgata 42,[],Oslo,['0180'],['Norway'],[],[]
66,,,[],,[],[],[],[]
